Command: /home/users/yves6512/Project/hardware/./simv +HEX=tb6.hex -l run.log
Chronologic VCS simulator copyright 1991-2023
Contains Synopsys proprietary information.
Compiler version V-2023.12_Full64; Runtime version V-2023.12_Full64;  Dec 19 04:27 2025
*Verdi* Loading libsscore_vcs202312.so
FSDB Dumper for VCS, Release Verdi_V-2023.12, Linux x86_64/64bit, 11/15/2023
(C) 1996 - 2023 by Synopsys, Inc.
*Verdi* FSDB WARNING: The FSDB file already exists. Overwriting the FSDB file may crash the programs that are using this file.
*Verdi* : Create FSDB file 'wave.fsdb'
*Verdi* : Begin traversing the scope (controller_tb), layer (0).
*Verdi* : End of traversing.
*Verdi* : Begin traversing the scope (controller_tb.dut), layer (0).
*Verdi* : End of traversing.
*Verdi* : Begin traversing the scopes, layer (0).
*Verdi* : Enable +all dumping.
*Verdi* : End of traversing.
[TB] Using HEX file:                                                                                                                          tb6.hex
[TB] Loaded 26 words from                                                                                                                          tb6.hex
[2225000] PC=64  instr=00120004  asic_done=0
[2235000] PC=64  instr=00120004  asic_done=0
[2245000] PC=64  instr=00120004  asic_done=0
[2255000] PC=64  instr=00120004  asic_done=0
[2265000] PC=64  instr=00120004  asic_done=0
[2275000] PC=64  instr=00120004  asic_done=0
[2285000] PC=64  instr=00120004  asic_done=0
[2295000] PC=64  instr=00120004  asic_done=0
[2305000] PC=64  instr=00120004  asic_done=0
[2315000] PC=64  instr=00120004  asic_done=0
[2325000] PC=64  instr=00120004  asic_done=0
[2335000] PC=64  instr=00120004  asic_done=0
[2345000] PC=64  instr=00120004  asic_done=0
[2355000] PC=64  instr=00120004  asic_done=0
[2365000] PC=64  instr=00120004  asic_done=0
[2375000] PC=64  instr=00120004  asic_done=0
[2385000] PC=64  instr=00120004  asic_done=0
[2395000] PC=64  instr=00120004  asic_done=0
[2405000] PC=64  instr=00120004  asic_done=0
[2415000] PC=64  instr=00120004  asic_done=0
[2425000] PC=64  instr=00120004  asic_done=0
[2435000] PC=64  instr=00120004  asic_done=0
[2445000] PC=64  instr=00120004  asic_done=0
[2455000] PC=64  instr=00120004  asic_done=0
[2465000] PC=64  instr=00120004  asic_done=0
[2475000] PC=64  instr=00120004  asic_done=0
[2485000] PC=64  instr=00120004  asic_done=0
[2495000] PC=64  instr=00120004  asic_done=0
[2505000] PC=64  instr=00120004  asic_done=0
[2515000] PC=64  instr=00120004  asic_done=0
[2525000] PC=64  instr=00120004  asic_done=0
[2535000] PC=64  instr=00120004  asic_done=0
[2545000] PC=64  instr=00120004  asic_done=0
[2555000] PC=64  instr=00120004  asic_done=0
[2565000] PC=64  instr=00120004  asic_done=0
[2575000] PC=64  instr=00120004  asic_done=0
[2585000] PC=64  instr=00120004  asic_done=0
[2595000] PC=64  instr=00120004  asic_done=0
[2605000] PC=64  instr=00120004  asic_done=0
[2615000] PC=64  instr=00120004  asic_done=0
[2625000] PC=64  instr=00120004  asic_done=0
[2635000] PC=64  instr=00120004  asic_done=0
[2645000] PC=64  instr=00120004  asic_done=0
[2655000] PC=64  instr=00120004  asic_done=0
[2665000] PC=64  instr=00120004  asic_done=0
[2675000] PC=64  instr=00120004  asic_done=0
[2685000] PC=64  instr=00120004  asic_done=0
[2695000] PC=64  instr=00120004  asic_done=0
[2705000] PC=64  instr=00120004  asic_done=0
[2715000] PC=64  instr=00120004  asic_done=0
[2725000] PC=64  instr=00120004  asic_done=0
[2735000] PC=64  instr=00120004  asic_done=0
[2745000] PC=64  instr=00120004  asic_done=0
[2755000] PC=64  instr=00120004  asic_done=0
[2765000] PC=64  instr=00120004  asic_done=0
[2775000] PC=64  instr=00120004  asic_done=0
[2785000] PC=64  instr=00120004  asic_done=0
[2795000] PC=64  instr=00120004  asic_done=0
[2805000] PC=64  instr=00120004  asic_done=0
[2815000] PC=64  instr=00120004  asic_done=0
[2825000] PC=64  instr=00120004  asic_done=0
[2835000] PC=64  instr=00120004  asic_done=0
[2845000] PC=64  instr=00120004  asic_done=0
[2855000] PC=64  instr=00120004  asic_done=0
[2865000] PC=64  instr=00120004  asic_done=0
[2875000] PC=64  instr=00120004  asic_done=0
[2885000] PC=64  instr=00120004  asic_done=0
[2895000] PC=64  instr=00120004  asic_done=0
[2905000] PC=64  instr=00120004  asic_done=0
[2915000] PC=64  instr=00120004  asic_done=0
[2925000] PC=64  instr=00120004  asic_done=0
[2935000] PC=64  instr=00120004  asic_done=0
[2945000] PC=64  instr=00120004  asic_done=0
[2955000] PC=64  instr=00120004  asic_done=0
[2965000] PC=64  instr=00120004  asic_done=0
[2975000] PC=64  instr=00120004  asic_done=0
[2985000] PC=64  instr=00120004  asic_done=0
[2995000] PC=64  instr=00120004  asic_done=0
[3005000] PC=64  instr=00120004  asic_done=0
[3015000] PC=64  instr=00120004  asic_done=0
[3025000] PC=64  instr=00120004  asic_done=0
[3035000] PC=64  instr=00120004  asic_done=0
[3045000] PC=64  instr=00120004  asic_done=0
[3055000] PC=64  instr=00120004  asic_done=0
[3065000] PC=64  instr=00120004  asic_done=0
[3075000] PC=64  instr=00120004  asic_done=0
[3085000] PC=64  instr=00120004  asic_done=0
[3095000] PC=64  instr=00120004  asic_done=0
[3105000] PC=64  instr=00120004  asic_done=0
[3115000] PC=64  instr=00120004  asic_done=0
[3125000] PC=64  instr=00120004  asic_done=0
[3135000] PC=64  instr=00120004  asic_done=0
[3145000] PC=64  instr=00120004  asic_done=0
[3155000] PC=64  instr=00120004  asic_done=0
[3165000] PC=64  instr=00120004  asic_done=0
[3175000] PC=64  instr=00120004  asic_done=0
[3185000] PC=64  instr=00120004  asic_done=0
[3195000] PC=64  instr=00120004  asic_done=0
[3205000] PC=64  instr=00120004  asic_done=0
[3215000] PC=64  instr=00120004  asic_done=0
[3225000] PC=64  instr=00120004  asic_done=0
[3235000] PC=64  instr=00120004  asic_done=0
[3245000] PC=64  instr=00120004  asic_done=0
[3255000] PC=64  instr=00120004  asic_done=0
[3265000] PC=64  instr=00120004  asic_done=0
[3275000] PC=64  instr=00120004  asic_done=0
[3285000] PC=64  instr=00120004  asic_done=0
[3295000] PC=64  instr=00120004  asic_done=0
[3305000] PC=64  instr=00120004  asic_done=0
[3315000] PC=64  instr=00120004  asic_done=0
[3325000] PC=64  instr=00120004  asic_done=0
[3335000] PC=64  instr=00120004  asic_done=0
[3345000] PC=64  instr=00120004  asic_done=0
[3355000] PC=64  instr=00120004  asic_done=0
[3365000] PC=64  instr=00120004  asic_done=0
[3375000] PC=64  instr=00120004  asic_done=0
[3385000] PC=64  instr=00120004  asic_done=0
[3395000] PC=64  instr=00120004  asic_done=0
[3405000] PC=64  instr=00120004  asic_done=0
[3415000] PC=64  instr=00120004  asic_done=0
[3425000] PC=64  instr=00120004  asic_done=0
[3435000] PC=64  instr=00120004  asic_done=0
[3445000] PC=64  instr=00120004  asic_done=0
[3455000] PC=64  instr=00120004  asic_done=0
[3465000] PC=64  instr=00120004  asic_done=0
[3475000] PC=64  instr=00120004  asic_done=0
[3485000] PC=64  instr=00120004  asic_done=0
[3495000] PC=64  instr=00120004  asic_done=0
[3505000] PC=64  instr=00120004  asic_done=0
[3515000] PC=64  instr=00120004  asic_done=0
[3525000] PC=64  instr=00120004  asic_done=0
[3535000] PC=64  instr=00120004  asic_done=0
[3545000] PC=64  instr=00120004  asic_done=0
[3555000] PC=64  instr=00120004  asic_done=0
[3565000] PC=64  instr=00120004  asic_done=0
[3575000] PC=64  instr=00120004  asic_done=0
[3585000] PC=64  instr=00120004  asic_done=0
[3595000] PC=64  instr=00120004  asic_done=0
[3605000] PC=64  instr=00120004  asic_done=0
[3615000] PC=64  instr=00120004  asic_done=0
[3625000] PC=64  instr=00120004  asic_done=0
[3635000] PC=64  instr=00120004  asic_done=0
[3645000] PC=64  instr=00120004  asic_done=0
[3655000] PC=64  instr=00120004  asic_done=0
[3665000] PC=64  instr=00120004  asic_done=0
[3675000] PC=64  instr=00120004  asic_done=0
[3685000] PC=64  instr=00120004  asic_done=0
[3695000] PC=64  instr=00120004  asic_done=0
[3705000] PC=64  instr=00120004  asic_done=0
[3715000] PC=64  instr=00120004  asic_done=0
[3725000] PC=64  instr=00120004  asic_done=0
[3735000] PC=64  instr=00120004  asic_done=0
[3745000] PC=64  instr=00120004  asic_done=0
[3755000] PC=64  instr=00120004  asic_done=0
[3765000] PC=64  instr=00120004  asic_done=0
[3775000] PC=64  instr=00120004  asic_done=0
[3785000] PC=64  instr=00120004  asic_done=0
[3795000] PC=64  instr=00120004  asic_done=0
[3805000] PC=64  instr=00120004  asic_done=0
[3815000] PC=64  instr=00120004  asic_done=0
[3825000] PC=64  instr=00120004  asic_done=0
[3835000] PC=64  instr=00120004  asic_done=0
[3845000] PC=64  instr=00120004  asic_done=0
[3855000] PC=64  instr=00120004  asic_done=0
[3865000] PC=64  instr=00120004  asic_done=0
[3875000] PC=64  instr=00120004  asic_done=0
[3885000] PC=64  instr=00120004  asic_done=0
[3895000] PC=64  instr=00120004  asic_done=0
[3905000] PC=64  instr=00120004  asic_done=0
[3915000] PC=64  instr=00120004  asic_done=0
[3925000] PC=64  instr=00120004  asic_done=0
[3935000] PC=64  instr=00120004  asic_done=0
[3945000] PC=64  instr=00120004  asic_done=0
[3955000] PC=64  instr=00120004  asic_done=0
[3965000] PC=64  instr=00120004  asic_done=0
[3975000] PC=64  instr=00120004  asic_done=0
[3985000] PC=64  instr=00120004  asic_done=0
[3995000] PC=64  instr=00120004  asic_done=0
[4005000] PC=64  instr=00120004  asic_done=0
[4015000] PC=64  instr=00120004  asic_done=0
[4025000] PC=64  instr=00120004  asic_done=0
[4035000] PC=64  instr=00120004  asic_done=0
[4045000] PC=64  instr=00120004  asic_done=0
[4055000] PC=64  instr=00120004  asic_done=0
[4065000] PC=64  instr=00120004  asic_done=0
[4075000] PC=64  instr=00120004  asic_done=0
[4085000] PC=64  instr=00120004  asic_done=0
[4095000] PC=64  instr=00120004  asic_done=0
[4105000] PC=64  instr=00120004  asic_done=0
[4115000] PC=64  instr=00120004  asic_done=0
[4125000] PC=64  instr=00120004  asic_done=0
[4135000] PC=64  instr=00120004  asic_done=0
[4145000] PC=64  instr=00120004  asic_done=0
[4155000] PC=64  instr=00120004  asic_done=0
[4165000] PC=64  instr=00120004  asic_done=0
[4175000] PC=64  instr=00120004  asic_done=0
[4185000] PC=64  instr=00120004  asic_done=0
[4195000] PC=64  instr=00120004  asic_done=0
[4205000] PC=64  instr=00120004  asic_done=0
[4215000] PC=64  instr=00120004  asic_done=0
